label,device,run,performance,accessibility,best_practices,seo,lcp_ms,cls,tbt_ms,fcp_ms,speed_index_ms
new,desktop,1,68,83,100,100,2881.1032,0.010134923473628148,116,2007.4463999999998,3211.265638422612
new,desktop,2,71,83,100,100,2816.21485,0.010134923473628148,45,2405.7394999999997,2405.7394999999997
new,desktop,3,74,83,100,100,2796.8324999999995,0.010086305137883106,57,1953.8437,1953.8437
new,desktop,4,74,83,100,100,2766.662,0.010694582083394112,47,1954.279,1954.279
new,desktop,5,67,83,100,100,2744.509000000002,0.010073324850101102,114,1953.7451999999998,15865.617591998367
new,mobile,1,90,83,100,100,2838.0140000000006,0.01011609178124233,83,2105.6083,4727.799595998917
new,mobile,2,92,83,100,100,2921.43705,0,89,2105.1009,3270.192603998412
new,mobile,3,94,83,100,100,2844.93585,0.009637971605974219,40,1953.7523,1953.7523
new,mobile,4,89,83,100,100,3013.4432,0.011393327688612181,75,2104.7636,4713.723319998576
new,mobile,5,93,83,100,100,3021.165000000001,0,42,1954.0234,1954.0234
new-hosted,desktop,1,69,83,100,100,3281.7349999999997,0.00038718499040882006,23,2311.354,2313.780415992234
new-hosted,desktop,2,63,83,100,100,6069.152,0.0003857830104845365,21,2224.52,2224.52
new-hosted,desktop,3,68,83,100,100,3245.6009999999997,0.0003857830104845365,25,2379.99,2379.99
new-hosted,desktop,4,64,83,100,100,6142.543999999999,0.0003857830104845365,15,2128.49,2128.49
new-hosted,desktop,5,64,83,100,100,6141.996,0.00024282531336948483,25,2127.7000000000003,2127.7000000000003
new-hosted,mobile,1,76,83,100,100,6242.548999999999,0.0012432688808802844,27,2168.4530000000004,2168.4530000000004
new-hosted,mobile,2,76,83,100,100,6081.865,0.0011791079577762177,19,2228.521,2228.521
new-hosted,mobile,3,75,83,100,100,6259.943,0.001618593344980598,29,2228.986,2228.986
new-hosted,mobile,4,75,83,100,100,6257.782999999999,0.0009583327613881267,21,2198.607,2198.607
new-hosted,mobile,5,75,83,100,100,6164.667999999998,0.000943816796926501,17,2256.6319999999996,2256.6319999999996
original,desktop,1,29,89,74,82,11514.3875,0.12024119913950446,555,3188.9030000000002,6091.685348729236
original,mobile,1,18,94,57,82,8888.102000000003,0.8613556576820658,688.5,3303.857999999999,16959.05376989309
